time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-18T19:51:16.810Z,40.6455001831055,-122.445167541504,18.5300006866455,2.46,md,15,51,0.06108,0.36,nc,nc75036647,2024-07-19T00:59:40.876Z,"6 km NE of Shasta, CA",earthquake,0.92,0.889999986,0.12,14,automatic,nc,nc
2024-07-18T19:23:20.830Z,19.1973333333333,-155.475666666667,31.62,2.5,ml,56,88,0.04362,0.11,hv,hv74343231,2024-07-19T14:55:41.040Z,"0 km SSE of Pāhala, Hawaii",earthquake,0.5,0.55,0.223557407498964,35,reviewed,hv,hv
2024-07-18T18:21:23.433Z,63.4512,-148.3772,1,3.3,ml,,,,0.79,ak,ak024972bril,2024-07-19T14:36:17.040Z,"29 km ENE of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-07-18T18:14:42.750Z,36.525,70.3873,222.562,4.9,mww,97,46,3.152,0.79,us,us7000n02k,2024-07-18T22:44:57.827Z,"47 km E of Farkhār, Afghanistan",earthquake,8.02,5.259,0.08,15,reviewed,us,us
2024-07-18T15:40:51.791Z,40.0101,44.4374,10,3.4,ml,10,80,0.271,0.54,us,us7000n018,2024-07-18T20:07:27.556Z,"1 km SE of Noramarg, Armenia",earthquake,1.76,1.968,0.115,10,reviewed,us,us
2024-07-18T15:17:35.193Z,35.9951,140.0946,77.994,4.4,mb,20,158,1.618,0.6,us,us7000n00u,2024-07-19T02:26:45.304Z,"4 km NW of Ushiku, Japan",earthquake,8.08,11.749,0.179,9,reviewed,us,us
2024-07-18T15:01:22.727Z,-5.231,101.0215,10,5.3,mww,55,77,2.113,0.92,us,us7000n00i,2024-07-19T06:27:53.839Z,"209 km SW of Bengkulu, Indonesia",earthquake,6.08,1.53,0.086,13,reviewed,us,us
2024-07-18T13:45:41.231Z,31.608,-103.971,8.5223,2.7,ml,23,57,0,0.1,tx,tx2024oaqi,2024-07-18T15:36:25.809Z,"36 km NNW of Toyah, Texas",earthquake,0.3520351482005151,0.4574876224103695,0.2,29,reviewed,tx,tx
2024-07-18T13:19:21.133Z,29.2653,130.3943,36.184,4.7,mb,46,105,2.236,0.56,us,us7000n004,2024-07-18T14:35:25.040Z,"107 km S of Yudomari, Japan",earthquake,2.95,7.716,0.073,57,reviewed,us,us
2024-07-18T12:26:15.688Z,52.8906,-158.0404,14.857,4.2,mb,52,173,2.85,0.99,us,us7000mzzt,2024-07-18T13:28:44.040Z,"south of Alaska",earthquake,8.44,5.952,0.113,22,reviewed,us,us
2024-07-18T11:07:36.268Z,33.536,140.1754,105.552,5.6,mww,127,30,0.517,0.89,us,us7000mzzc,2024-07-19T11:14:35.385Z,"163 km S of Tateyama, Japan",earthquake,7.34,5.07,0.043,53,reviewed,us,us
2024-07-18T10:36:07.840Z,31.4928333,-114.3416667,5.97,2.98,ml,8,141,0.5785,0.16,ci,ci40663263,2024-07-19T00:54:33.970Z,"100 km SE of Estacion Coahuila, B.C., MX",earthquake,0.43,31.61,0.183,29,reviewed,ci,ci
2024-07-18T08:52:44.557Z,5.0939,-82.6109,10,4.4,mb,73,146,3.37,0.93,us,us7000mzyv,2024-07-18T14:29:24.040Z,"south of Panama",earthquake,5.74,1.931,0.052,108,reviewed,us,us
2024-07-18T08:05:51.680Z,18.011,-66.9743333333333,14.82,2.99,md,20,118,0.07346,0.24,pr,pr71455788,2024-07-18T09:44:33.426Z,"4 km SW of Liborio Negron Torres, Puerto Rico",earthquake,0.55,0.8,0.0727482614642136,5,reviewed,pr,pr
2024-07-18T05:39:55.669Z,8.7164,126.7071,51.616,5.2,mb,61,103,1.981,0.89,us,us7000mzyb,2024-07-18T06:31:11.090Z,"46 km ESE of Marihatag, Philippines",earthquake,9.79,7.129,0.046,155,reviewed,us,us
2024-07-18T05:04:42.970Z,18.0391666666667,-65.385,13.14,3.03,md,10,203,0.3128,0.28,pr,pr71455768,2024-07-18T05:16:43.110Z,"11 km SE of Esperanza, Puerto Rico",earthquake,1.54,0.92,0.0891949121861231,7,reviewed,pr,pr
2024-07-18T02:37:59.696Z,57.0851,-146.8569,10,2.7,ml,22,258,2.367,0.39,us,us7000mzxx,2024-07-18T02:51:28.040Z,"Gulf of Alaska",earthquake,9.39,2.021,0.06,36,reviewed,us,us
2024-07-18T01:24:32.880Z,33.1973333,-116.3951667,12.01,2.65,ml,102,15,0.07304,0.2,ci,ci40662967,2024-07-18T19:12:53.770Z,"7 km SSW of Borrego Springs, CA",earthquake,0.11,0.43,0.153,26,reviewed,ci,ci
